35219.3,35219.4,35219.350000000006,0.09999999999854481,,0.0292,,1627171499.40624,SEMIANNUAL,211231,BTC-USD-211231,Binance COIN-M
34433.8,34433.9,34433.850000000006,0.09999999999854481,,0.0062,,1627171499.40624,QUARTER,210924,BTC-USD-210924,Binance COIN-M
34220.1,34220.2,34220.149999999994,0.09999999999854481,,0.0,,1627171499.40624,PERPETUAL,,BTC-USD-PERPETUAL,Binance COIN-M
34231.5,34232.0,34231.75,0.5,-0.000251,0.0,892439000.0,1627171499.7531798,PERPETUAL,,BTC-USD-PERPETUAL,BitMEX
34486.5,34487.0,34486.75,0.5,,0.0074,14465600.0,1627171499.7531798,QUARTER,092121,BTC-USD-092121,BitMEX
35226.0,35236.0,35231.0,10.0,,0.0292,13492200.0,1627171499.7531798,SEMIANNUAL,122121,BTC-USD-122121,BitMEX
34245.0,34265.5,34255.25,20.5,-2.59550192e-10,0.0,84282986.0,1627171515.014091,PERPETUAL,,BTC-USD-PERPETUAL,Kraken Futures
34443.0,34472.5,34457.75,29.5,,0.0059,4888809.0,1627171515.014091,QUARTER,210924,BTC-USD-210924,Kraken Futures
35204.5,35264.5,35234.5,60.0,,0.0286,2380491.0,1627171515.014091,SEMIANNUAL,211231,BTC-USD-211231,Kraken Futures
34240.0,34283.5,34261.75,43.5,,0.0002,4568846.0,1627171515.014091,MONTH,210730,BTC-USD-210730,Kraken Futures
34269.0,34270.0,34269.5,1.0,,0.0,1663470478.9061,1627171515.097634,PERPETUAL,,BTC-USD-PERPETUAL,FTX Futures
34808.0,34811.0,34809.5,3.0,,0.0158,145748224.8275,1627171515.097634,QUARTER,210924,BTC-USD-210924,FTX Futures
35654.0,35670.0,35662.0,16.0,,0.0406,105159465.3994,1627171515.097634,SEMIANNUAL,211231,BTC-USD-211231,FTX Futures
35226.1,35226.2,35226.149999999994,0.09999999999854481,,0.029,,1627171515.168384,SEMIANNUAL,211231,BTC-USD-211231,Binance COIN-M
34442.7,34442.8,34442.75,0.10000000000582077,,0.0061,,1627171515.168384,QUARTER,210924,BTC-USD-210924,Binance COIN-M
34233.0,34233.1,34233.05,0.09999999999854481,,0.0,,1627171515.168384,PERPETUAL,,BTC-USD-PERPETUAL,Binance COIN-M
34249.5,34250.0,34249.75,0.5,-0.000251,0.0,892143800.0,1627171515.47622,PERPETUAL,,BTC-USD-PERPETUAL,BitMEX
34497.0,34497.5,34497.25,0.5,,0.0072,14465000.0,1627171515.47622,QUARTER,092121,BTC-USD-092121,BitMEX
35252.0,35261.5,35256.75,9.5,,0.0294,13491700.0,1627171515.47622,SEMIANNUAL,122121,BTC-USD-122121,BitMEX
34230.5,34240.5,34235.5,10.0,-2.59550192e-10,0.0,84255017.0,1627171530.679101,PERPETUAL,,BTC-USD-PERPETUAL,Kraken Futures
34415.0,34452.0,34433.5,37.0,,0.0058,4888809.0,1627171530.679101,QUARTER,210924,BTC-USD-210924,Kraken Futures
35192.5,35253.5,35223.0,61.0,,0.0288,2380491.0,1627171530.679101,SEMIANNUAL,211231,BTC-USD-211231,Kraken Futures
34229.0,34269.0,34249.0,40.0,,0.0004,4568846.0,1627171530.679101,MONTH,210730,BTC-USD-210730,Kraken Futures
34253.0,34254.0,34253.5,1.0,,0.0,1663470478.9061,1627171530.761813,PERPETUAL,,BTC-USD-PERPETUAL,FTX Futures
34789.0,34797.0,34793.0,8.0,,0.0158,145792887.4092,1627171530.761813,QUARTER,210924,BTC-USD-210924,FTX Futures
35640.0,35657.0,35648.5,17.0,,0.0407,105131512.5352,1627171530.761813,SEMIANNUAL,211231,BTC-USD-211231,FTX Futures
35218.0,35218.1,35218.05,0.09999999999854481,,0.0292,,1627171530.8414211,SEMIANNUAL,211231,BTC-USD-211231,Binance COIN-M
34435.0,34435.1,34435.05,0.09999999999854481,,0.0063,,1627171530.8414211,QUARTER,210924,BTC-USD-210924,Binance COIN-M
