price,premium,24h_volume,timestamp,type,expiry,symbol,exchange
66986.0,0.0254,8793246.0,1636350307.281209,QUARTER,211231,BTC-USD-211231,Kraken Futures
68465.75,0.048,1176516.0,1636350307.281209,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65888.75,0.0086,2985319.0,1636350307.281209,MONTH,211126,BTC-USD-211126,Kraken Futures
65384.25,0.0,148453613.0,1636350371.0770404,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67042.75,0.0254,8833246.0,1636350371.0770404,QUARTER,211231,BTC-USD-211231,Kraken Futures
68533.75,0.0482,1176516.0,1636350371.0770404,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65931.5,0.0084,2987304.0,1636350371.0770404,MONTH,211126,BTC-USD-211126,Kraken Futures
65395.25,0.0,148394255.0,1636350434.5290952,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67053.5,0.0254,8833246.0,1636350434.5290952,QUARTER,211231,BTC-USD-211231,Kraken Futures
68548.0,0.0482,1176516.0,1636350434.5290952,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65938.25,0.0083,2987304.0,1636350434.5290952,MONTH,211126,BTC-USD-211126,Kraken Futures
65401.25,0.0,148280518.0,1636350497.7610636,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67054.0,0.0253,8833246.0,1636350497.7610636,QUARTER,211231,BTC-USD-211231,Kraken Futures
68549.75,0.0481,1176516.0,1636350497.7610636,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65950.0,0.0084,2987304.0,1636350497.7610636,MONTH,211126,BTC-USD-211126,Kraken Futures
65433.0,0.0,148368490.0,1636350565.034254,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67093.25,0.0254,8833246.0,1636350565.034254,QUARTER,211231,BTC-USD-211231,Kraken Futures
68582.5,0.0481,1176516.0,1636350565.034254,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65976.5,0.0083,2987304.0,1636350565.034254,MONTH,211126,BTC-USD-211126,Kraken Futures
65496.25,0.0,148392454.0,1636350629.9690034,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67154.25,0.0253,8833246.0,1636350629.9690034,QUARTER,211231,BTC-USD-211231,Kraken Futures
68630.75,0.0479,1176516.0,1636350629.9690034,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66031.0,0.0082,2988304.0,1636350629.9690034,MONTH,211126,BTC-USD-211126,Kraken Futures
65442.5,0.0,148327156.0,1636350693.089116,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67114.25,0.0255,8835374.0,1636350693.089116,QUARTER,211231,BTC-USD-211231,Kraken Futures
68595.75,0.0482,1176516.0,1636350693.089116,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65991.75,0.0084,2988304.0,1636350693.089116,MONTH,211126,BTC-USD-211126,Kraken Futures
65483.0,0.0,148113349.0,1636350758.8230128,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67138.5,0.0253,8835374.0,1636350758.8230128,QUARTER,211231,BTC-USD-211231,Kraken Futures
68633.75,0.0481,1176516.0,1636350758.8230128,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66023.5,0.0083,2988304.0,1636350758.8230128,MONTH,211126,BTC-USD-211126,Kraken Futures
65691.25,0.0,148387272.0,1636350824.929085,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67348.5,0.0252,8835374.0,1636350824.929085,QUARTER,211231,BTC-USD-211231,Kraken Futures
68855.25,0.0482,1183992.0,1636350824.929085,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66248.0,0.0085,2988304.0,1636350824.929085,MONTH,211126,BTC-USD-211126,Kraken Futures
65568.5,0.0,148440237.0,1636350887.881198,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67242.5,0.0255,8836049.0,1636350887.881198,QUARTER,211231,BTC-USD-211231,Kraken Futures
68716.5,0.048,1183992.0,1636350887.881198,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
